catalogo,texto_crudo,valor
servicio,CARTAGO ADMISION PARTOS,Admisión Partos CARTAGO
servicio,CARTAGO SALA DE PARTOS,Admisión Partos CARTAGO
servicio,ADMISION Y SALA DE PARTOS,Admision y Sala de Partos
servicio,PUERPERIO,Puerperio
servicio,CIRUGIA PEDIATRICA ANA FRANK,Ana Frank
servicio,PEDIATRIA ANHELO DE VIDA,Anhelo de Vida
servicio,ANHELO DE VIDA,Anhelo de Vida
servicio,ALTO RIESGO OBSTETRICO2,ARO (Alto Riesgo Obstétrico)
servicio,ALTO RIESGO OBSTETRICO,ARO (Alto Riesgo Obstétrico)
servicio,ALTO RIESGO OBSTETRICO 2,ARO (Alto Riesgo Obstétrico)
servicio,UCI PEDIATRIA (CIPAF),CIPAF
servicio,CUIDADO INTERMEDIO PEDIATRICO,CIPAF UCIM
servicio,CUIDADO INTERMEDIO,CIPAF UCIM
servicio,UCIM PEDIATRICO,CIPAF UCIM
servicio,CIRUGIA HOMBRES,Cirugía Hombres
servicio,CIRUGIA MUJERES,Cirugía Mujeres
servicio,OBSERVACION CIRUGIA,Cirugía Observación - Sala Humana
servicio,URGENCIAS COLSULTA,Consultorios Urgencias CARTAGO
servicio,CARTAGO CONSULTORIO URGENCIAS,Consultorios Urgencias CARTAGO
servicio,CARTAGO CRITICOS URGENCIAS,Consultorios Urgencias CARTAGO
servicio,CARTAGO URGENCIAS CONSULTA,Consultorios Urgencias CARTAGO
servicio,Sin especificar,No Aplica
servicio,OBSERVACION PEDIATRIA,Consultorios Urgencias CARTAGO
servicio,CARTAGO OBSERVACION PEDIATTRIA,Consultorios Urgencias CARTAGO
servicio,CARTAGO OBSERVACIÓN PEDIATRIA,Observacion pediatria CARTAGO
servicio,URGENCIAS CONSULTA,Consultorios Urgencias CARTAGO
servicio,ENDOSCOPIA,Endoscopia
servicio,EXTENSION DOMICILIARIA,Extension Domicliaria
servicio,ONCOLOGIA HOSP ADULTOS,Hematoncologia Adulto
servicio,ONCOLOGIA HOSPIT ADULTOS,Hematoncologia Adulto
servicio,ONCOLOGIA HOSPIT PEDIATRICA,Hematoncologia Pediatrico
servicio,HOSPITALIZACION ADULTO,Hospitalizacion 1 CARTAGO
servicio,CARTAGO HOSPITALIZACION 1,Hospitalizacion 1 CARTAGO
servicio,CARTAGO HOSPITALIZACION ADULTO,Hospitalizacion 1 CARTAGO
servicio,HOSPITALIZACION 1,Hospitalizacion 1 CARTAGO
servicio,SEDE CARTAGO,Hospitalizacion 1 CARTAGO
servicio,CARTAGO HOSPITALIZACION 2,Hospitalizacion 2 CARTAGO
servicio,CARTAGO UCI 1,UCI CARTAGO
servicio,CARTAGO HOSPITALIZACION 3,Hospitalizacion 3 CARTAGO
servicio,CARTAGO GINECOLOGIA OBSTETRICI,Hospitalizacion GO CARTAGO
servicio,HOSPITALIZACION PEDIATRIA,Hospitalizacion pediatrica CARTAGO
servicio,CARTAGO HOSPITALIZACION PEDIAT,Hospitalizacion pediatrica CARTAGO
servicio,MEDICA HOMBRES P2,Médica Hombres
servicio,MEDICA HOMBRES,Médica Hombres
servicio,MEDICAS HOMBRES,Médica Hombres
servicio,MEDICA MUJERES P2,Médica Mujeres
servicio,MEDICA MUJERES,Médica Mujeres
servicio,MEDICAS MUJERES,Médica Mujeres
servicio,MEDICINA INTERNA CRITICO,Medicina Interna Urgencias
servicio,3 PISO TRASPLANTE COEX,No Aplica
servicio,FILTRO/COSULTORIOS,No Aplica
servicio,URGENCIAS OBSERVACION,Observacion Hombres CARTAGO
servicio,CARTAGO URGENCIA OBSERVACION,Observacion Hombres CARTAGO
servicio,CARTAGO OBSERVACION PEDIATRIA,Observacion pediatria CARTAGO
servicio,PEDIATRIA GENERAL,Pediatría General
servicio,UCI CX PEDIATRICA ANA FRANK,Pediatría General
